"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"11/01/2015 11:00:00 - 11/01/2015 12:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 12:00:00 - 11/01/2015 13:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 13:00:00 - 11/01/2015 14:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 14:00:00 - 11/01/2015 15:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 15:00:00 - 11/01/2015 16:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 16:00:00 - 11/01/2015 17:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 17:00:00 - 11/01/2015 18:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 18:00:00 - 11/01/2015 19:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 19:00:00 - 11/01/2015 20:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 20:00:00 - 11/01/2015 21:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 21:00:00 - 11/01/2015 22:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 22:00:00 - 11/01/2015 23:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 23:00:00 - 12/01/2015 00:00:00","BZN|GB","Without Sequence","30.00","",""
"12/01/2015 00:00:00 - 12/01/2015 01:00:00","BZN|GB","Without Sequence","29.00","",""
"12/01/2015 01:00:00 - 12/01/2015 02:00:00","BZN|GB","Without Sequence","20.70","",""
"12/01/2015 02:00:00 - 12/01/2015 03:00:00","BZN|GB","Without Sequence","20.71","",""
"12/01/2015 03:00:00 - 12/01/2015 04:00:00","BZN|GB","Without Sequence","15.06","",""
"12/01/2015 04:00:00 - 12/01/2015 05:00:00","BZN|GB","Without Sequence","15.11","",""
"12/01/2015 05:00:00 - 12/01/2015 06:00:00","BZN|GB","Without Sequence","25.88","",""
